PMID,Title,Year,Sentence,Autophagy_terms,Treg_terms,Relations
39491776,Mitochondrial mechanisms in Treg cell regulation: Implications for immunotherapy and disease treatment.,2025,"mitophagy, as part of mitochondrial quality control, also plays an essential role in preserving treg function.",['mitophagy'],['treg'],"[('control', 'regulates')]"
27943115,Harnessing bone marrow resident regulatory T cells to improve allogeneic stem cell transplant outcomes.,2017,"the bm compartment is enriched in a highly suppressive, activated/memory autophagy-dependent treg population, which contributes to the hsc engraftment and the control of gvhd.",['autophagy'],"['suppressive', 'treg']","[('activate', 'activates'), ('activated', 'activates'), ('suppress', 'inhibits'), ('control', 'regulates')]"
27943115,Harnessing bone marrow resident regulatory T cells to improve allogeneic stem cell transplant outcomes.,2017,g-csf administration releases treg from the bm through disruption of the cxcr4/sdf-1 axis and further improves treg survival following sct through the induction of autophagy.,['autophagy'],['treg'],"[('induction', 'activates')]"
37213143,Correlation of miR-125b with Treg/Th17 Cell Imbalance in Condyloma Acuminatum and Its Regulation on Autophagy of Keratinocytes.,2023,"in conclusion, mir-125b, under-expressed in ca, is closely related to th17/treg cell imbalance, the mechanism is related to inhibiting the autophagy of kcs and promoting their abnormal proliferation.",['autophagy'],['treg'],"[('inhibit', 'inhibits'), ('inhibiting', 'inhibits'), ('related to', 'associated_with')]"
26808230,Autophagy enforces functional integrity of regulatory T cells by coupling environmental cues and metabolic homeostasis.,2016,"atg7-deficient treg cells show increased apoptosis and readily lose expression of the transcription factor foxp3, especially after activation.","['atg', 'atg7']","['foxp3', 'treg']","[('activation', 'activates')]"
26808230,Autophagy enforces functional integrity of regulatory T cells by coupling environmental cues and metabolic homeostasis.,2016,"mechanistically, autophagy deficiency upregulates metabolic regulators mtorc1 and c-myc and glycolysis, which contribute to defective treg function.","['autophagy', 'mtor']",['treg'],"[('regulates', 'regulates'), ('regulate', 'regulates')]"
26808230,Autophagy enforces functional integrity of regulatory T cells by coupling environmental cues and metabolic homeostasis.,2016,"therefore, autophagy couples environmental signals and metabolic homeostasis to protect lineage and survival integrity of treg cells in activating contexts.",['autophagy'],['treg'],"[('activating', 'activates')]"
35439818,Enhancing and stabilization of cord blood regulatory T-cell suppressive function by human mesenchymal stem cell (MSC)-derived exosomes.,2022,"we identified that msc-derived exosomes could upregulate the expression of lc3(ii/i), phosphorylate jak3 and stat5 to promote treg survival, and regulate foxp3 expression in tregs.",['lc3'],"['foxp3', 'tregs', 'treg']","[('regulate', 'regulates')]"
35439818,Enhancing and stabilization of cord blood regulatory T-cell suppressive function by human mesenchymal stem cell (MSC)-derived exosomes.,2022,"overall, our study demonstrates that msc-derived exosomes are capable of enhancing hucb-tregs function and stability by activating autophagy and stat5 signalling pathways.",['autophagy'],"['tregs', 'treg']","[('activating', 'activates')]"
32319705,The TGF-b/SOX4 axis and ROS-driven autophagy co-mediate CD39 expression in regulatory T-cells.,2020,"thus, we identify a crucial role of sox4 in immune regulation and provide new insights involving the interplay of tolerogenic cues and autophagy in treg.",['autophagy'],['treg'],"[('regulation', 'regulates')]"
40131367,Long noncoding RNA BCYRN1 promotes cardioprotection by enhancing human and murine regulatory T cell dynamics.,2025,"suppression of these mirs leads to increased treg proliferation via atg7-dependent autophagy, ccr6-dependent treg migration, and enhanced treg il-10 production.","['autophagy', 'atg', 'atg7']","['il-10', 'treg']","[('suppress', 'inhibits'), ('suppression', 'inhibits')]"
35652357,Investigating immunoregulatory effects of myeloid cell autophagy in acute and chronic inflammation.,2022,"in vitro, loss of autophagy, through pharmacological inhibition or small interfering rna against becn1, inhibited il-10 release by human and mouse myeloid cells.",['autophagy'],['il-10'],"[('inhibit', 'inhibits'), ('inhibited', 'inhibits'), ('inhibition', 'inhibits')]"
27267497,Notch1 regulated autophagy controls survival and suppressor activity of activated murine T-regulatory cells.,2016,"here we report functional outcomes of non-nuclear notch signaling to activate autophagy, a conserved cellular response to nutrient stress, regulating survival in murine natural t-regulatory cells (tregs), an immune subset controlling tolerance and inflammation.",['autophagy'],"['tregs', 'treg', 't-regulatory']","[('activate', 'activates'), ('regulating', 'regulates'), ('control', 'regulates'), ('controlling', 'regulates')]"
27267497,Notch1 regulated autophagy controls survival and suppressor activity of activated murine T-regulatory cells.,2016,"induction of autophagy required ligand-dependent, notch intracellular domain (nic) activity, which controlled mitochondrial organization and survival of activated tregs.",['autophagy'],"['tregs', 'treg']","[('activate', 'activates'), ('activated', 'activates'), ('induction', 'activates'), ('control', 'regulates'), ('controlled', 'regulates')]"
27267497,Notch1 regulated autophagy controls survival and suppressor activity of activated murine T-regulatory cells.,2016,"further, ectopic expression of an effector of autophagy (atg3) or recombinant nic tagged to a nuclear export signal (nic-nes), restored autophagy and suppressor function in notch1(-/-) tregs.","['autophagy', 'atg']","['tregs', 'treg']","[('suppress', 'inhibits')]"
33488601,CD39<sup>+</sup> Regulatory T Cells Attenuate Lipopolysaccharide-Induced Acute Lung Injury <i>via</i> Autophagy and the ERK/FOS Pathway.,2020,lps-induced inflammation in the lung impaired the immunosuppressive effect of tregs <i>via</i> the autophagy-mediated downregulation of cd39.,['autophagy'],"['suppressive', 'tregs', 'treg']","[('induce', 'activates'), ('induced', 'activates'), ('suppress', 'inhibits'), ('regulation', 'regulates')]"
32318017,Effects of Mitophagy on Regulatory T Cell Function in Patients With Myasthenia Gravis.,2020,tregs from the mg group were subjected to rapamycin-induced culture for 48 h (rapa group) and 3-methyladenine-induced culture for 48 h (3-ma group).,['rapamycin'],"['tregs', 'treg']","[('induce', 'activates'), ('induced', 'activates')]"
32318017,Effects of Mitophagy on Regulatory T Cell Function in Patients With Myasthenia Gravis.,2020,<b>conclusion:</b> the decreased mitochondrial membrane potential and mitophagy in tregs in the mg group may be related to a decreased inhibition of treg proliferation.,['mitophagy'],"['tregs', 'treg']","[('inhibit', 'inhibits'), ('inhibition', 'inhibits'), ('related to', 'associated_with')]"
32318017,Effects of Mitophagy on Regulatory T Cell Function in Patients With Myasthenia Gravis.,2020,"the mitochondrial membrane potential was increased after adding the autophagy agent rapa to enhance mitophagy, and the proliferation inhibition function of tregs was also enhanced.","['autophagy', 'mitophagy']","['tregs', 'treg']","[('inhibit', 'inhibits'), ('inhibition', 'inhibits')]"
32318017,Effects of Mitophagy on Regulatory T Cell Function in Patients With Myasthenia Gravis.,2020,"the autophagy agent 3-ma down-regulated mitophagy, which decreased the mitochondrial membrane potential and inhibitory effect of tregs.","['autophagy', 'mitophagy']","['tregs', 'treg']","[('inhibit', 'inhibits'), ('regulate', 'regulates'), ('regulated', 'regulates')]"
35691121,"PD-1 inhibitor induces myocarditis by reducing regulatory T cells, activating inflammatory responses, promoting myocardial apoptosis and autophagy.",2022,"in summary, the decreased expression level of pd-1 leads to decreased tregs level in the myocardium, aggravated inflammatory response, apoptosis and autophagy, which may be the pathological mechanism of myocarditis induced by pd-1 inhibitors.",['autophagy'],"['tregs', 'treg', 'pd-1']","[('induce', 'activates'), ('induced', 'activates'), ('inhibit', 'inhibits')]"
37908143,Autophagy dysregulation plays a crucial role in regulatory T-cell loss and neuroinflammation in amyotrophic lateral sclerosis (ALS).,2024,"in this study, the role of autophagy dysregulation in foxp3<sup>+</sup> tregs in als was investigated.",['autophagy'],"['foxp3', 'tregs', 'treg']","[('regulation', 'regulates')]"
37626877,Metabolic Disruption Induced by mTOR Signaling Pathway Inhibition in Regulatory T-Cell Expansion for Clinical Application.,2023,"the aim of this study was to assess the efficacy of the mtorc1/c2 inhibitor, azd8055, in the manufacturing of clinically competent treg cells and compare the effects with those induced by rapamycin (rapa), another mtor inhibitor commonly used in treg expansion protocols.","['rapamycin', 'mtor']",['treg'],"[('induce', 'activates'), ('induced', 'activates'), ('inhibit', 'inhibits')]"
29161463,Blockade of Treg Cell Differentiation and Function by the Interleukin-21-Mechanistic Target of Rapamycin Axis Via Suppression of Autophagy in Patients With Systemic Lupus Erythematosus.,2018,this study sought to investigate whether mtor is activated within treg cells and whether this contributes to the depletion and dysfunction of treg cells in patients with sle.,['mtor'],['treg'],"[('activate', 'activates'), ('activated', 'activates')]"
36137312,Prospect of ULK1 modulators in targeting regulatory T cells.,2022,"here, we propose that the autophagy-activating unc-51-like kinase 1 (ulk1) is a candidate for treg cell modulation.","['autophagy', 'ulk1']",['treg'],"[('activating', 'activates')]"
36137312,Prospect of ULK1 modulators in targeting regulatory T cells.,2022,"furthermore, we summarized current ulk1 activators and inhibitors that can be investigated as treg-targeting strategies, which might have beneficial outcomes in autoimmunity and cancer.",['ulk1'],['treg'],"[('inhibit', 'inhibits')]"
36549349,"Arsenic-induced differential inflammatory responses in mouse thymus involves NF-κB/STAT-3 disruption, Treg bias and autophagy activation.",2023,we aim to understand how exposure to arsenic at different concentrations affects the immune system differentially and whether arsenic-induced differential inflammation dictates altered t-regulatory cell bias and emphasize the role of autophagy in the pathway.,['autophagy'],['t-regulatory'],"[('induce', 'activates'), ('induced', 'activates')]"
34214903,The lncRNA PVT1 regulates autophagy in regulatory T cells to suppress heart transplant rejection in mice by targeting miR-146a.,2021,higher pvt1 expression was associated with higher autophagy in tregs.,['autophagy'],"['tregs', 'treg']","[('associated with', 'associated_with')]"
34214903,The lncRNA PVT1 regulates autophagy in regulatory T cells to suppress heart transplant rejection in mice by targeting miR-146a.,2021,"further, highly autophagic tregs had stronger inhibitory effects on cd4<sup>+</sup> t cells in vitro, prolonged allograft survival and alleviated rejection in vivo.",['autophagic'],"['tregs', 'treg']","[('inhibit', 'inhibits')]"
34214903,The lncRNA PVT1 regulates autophagy in regulatory T cells to suppress heart transplant rejection in mice by targeting miR-146a.,2021,mir-146a overexpression reversed pvt1-induced treg autophagy and inhibited pvt1-induced traf6 expression.,['autophagy'],['treg'],"[('induce', 'activates'), ('induced', 'activates'), ('inhibit', 'inhibits'), ('inhibited', 'inhibits')]"
